央视(电信),#genre#
卫视(电信),#genre#
东方卫视(高清),http://27.148.240.181/PLTV/88888888/224/3221227281/index.m3u8?rrsip=27.148.240.138&zoneoffset=480&servicetype=1&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7E1xR6Q0bs_6Ut6LiLhpHr4w%7EWL8wrfz1WnY18ZpAVYb_2A1F4trz-ccTFEN_xZUOdHHjE2qSBblJpyfDcPSijiiRA0g7XswATCz55wkNBrNKTaTpqdn4viBZqvd7dBnKljM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20240119172843%2C2142440%2C110.90.164.192%2C20240119172843%2C00005000000000000000000000000263%2C214244020240119172842%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
湖南卫视(高清),http://27.148.240.181/PLTV/88888888/224/3221227238/index.m3u8?rrsip=27.148.240.138&zoneoffset=480&servicetype=1&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EyU3xvT9RGErxisUE0wkmkg%7EWL8wrfz1WnY18ZpAVYb_2A1F4trz-ccTFEN_xZUOdHHjE2qSBblJpyfDcPSijiiRA0g7XswATCz55wkNBrNKTaTpqdn4viBZqvd7dBnKljM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20240119172843%2C2142440%2C110.90.164.192%2C20240119172843%2C00000001000000050000000000000195%2C214244020240119172842%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
江苏卫视(高清),http://27.148.240.181/PLTV/88888888/224/3221227312/index.m3u8?rrsip=27.148.240.138&zoneoffset=480&servicetype=1&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EW-BZOE935Srk7yYTUFeEcQ%7EWL8wrfz1WnY18ZpAVYb_2A1F4trz-ccTFEN_xZUOdHHjE2qSBblJpyfDcPSijiiRA0g7XswATCz55wkNBrNKTaTpqdn4viBZqvd7dBnKljM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20240119172843%2C2142440%2C110.90.164.192%2C20240119172843%2C00000001000000050000000000000198%2C214244020240119172842%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
浙江卫视(高清),http://27.148.240.181/PLTV/88888888/224/3221227226/index.m3u8?rrsip=27.148.240.138&zoneoffset=480&servicetype=1&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EW--yAyZ-PcHvm4M01A3w6A%7EWL8wrfz1WnY18ZpAVYb_2A1F4trz-ccTFEN_xZUOdHHjE2qSBblJpyfDcPSijiiRA0g7XswATCz55wkNBrNKTaTpqdn4viBZqvd7dBnKljM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20240119172843%2C2142440%2C110.90.164.192%2C20240119172843%2C00000001000000050000000000000265%2C214244020240119172842%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
河北卫视(高清),http://27.148.240.181/PLTV/88888888/224/3221227316/index.m3u8?rrsip=27.148.240.138&zoneoffset=480&servicetype=1&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7Ex69dLOewISw07XhKyEz_pA%7EWL8wrfz1WnY18ZpAVYb_2A1F4trz-ccTFEN_xZUOdHHjE2qSBblJpyfDcPSijiiRA0g7XswATCz55wkNBrNKTaTpqdn4viBZqvd7dBnKljM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20240119172843%2C2142440%2C110.90.164.192%2C20240119172843%2C00000001000000050000000000000575%2C214244020240119172842%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
广东卫视(高清),http://27.148.240.181/PLTV/88888888/224/3221227218/index.m3u8?rrsip=27.148.240.138&zoneoffset=480&servicetype=1&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EsFZ46mFNJb4XrlnNoWuN5w%7EWL8wrfz1WnY18ZpAVYb_2A1F4trz-ccTFEN_xZUOdHHjE2qSBblJpyfDcPSijiiRA0g7XswATCz55wkNBrNKTaTpqdn4viBZqvd7dBnKljM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20240119172843%2C2142440%2C110.90.164.192%2C20240119172843%2C00000001000000050000000000000445%2C214244020240119172842%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
山东卫视(高清),http://27.148.240.181/PLTV/88888888/224/3221227300/index.m3u8?rrsip=27.148.240.138&zoneoffset=480&servicetype=1&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EAEoyDnplw2T6V-uvS4YoYQ%7EWL8wrfz1WnY18ZpAVYb_2A1F4trz-ccTFEN_xZUOdHHjE2qSBblJpyfDcPSijiiRA0g7XswATCz55wkNBrNKTaTpqdn4viBZqvd7dBnKljM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20240119172843%2C2142440%2C110.90.164.192%2C20240119172843%2C00000001000000050000000000000470%2C214244020240119172842%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
湖北卫视(高清),http://27.148.240.181/PLTV/88888888/224/3221227230/index.m3u8?rrsip=27.148.240.138&zoneoffset=480&servicetype=1&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EYp1D7VyK2VsjV22kjcAk-Q%7EWL8wrfz1WnY18ZpAVYb_2A1F4trz-ccTFEN_xZUOdHHjE2qSBblJpyfDcPSijiiRA0g7XswATCz55wkNBrNKTaTpqdn4viBZqvd7dBnKljM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20240119172843%2C2142440%2C110.90.164.192%2C20240119172843%2C00000001000000050000000000000267%2C214244020240119172842%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
深圳卫视(高清),http://27.148.240.181/PLTV/88888888/224/3221227285/index.m3u8?rrsip=27.148.240.138&zoneoffset=480&servicetype=1&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EGG-mIzqRCS1OeZByV9EM_w%7EWL8wrfz1WnY18ZpAVYb_2A1F4trz-ccTFEN_xZUOdHHjE2qSBblJpyfDcPSijiiRA0g7XswATCz55wkNBrNKTaTpqdn4viBZqvd7dBnKljM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20240119172843%2C2142440%2C110.90.164.192%2C20240119172843%2C00000001000000050000000000000197%2C214244020240119172842%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
